STNAME,Confirmed,Deaths,POPESTIMATE2019,Conf100,Deaths100,Mortality
Alabama,99390,1733,4903185,2027.0497645917908,35.34437309626294,1.74
Alaska,3774,26,731545,515.8944425838465,3.5541217560095415,0.69
Arizona,187523,4153,7278717,2576.31942552513,57.05675876668924,2.21
Arkansas,48205,555,3017804,1597.3535723327293,18.390856397565912,1.15
California,574231,10476,39512223,1453.2996536287012,26.5133146267169,1.82
Colorado,51020,1862,5758736,885.958307517483,32.33348429238639,3.65
Connecticut,50330,4444,3565287,1411.6675600028834,124.64634684388662,8.83
Delaware,15385,591,973764,1579.9516104518138,60.69232380741124,3.84
D.C.,12807,591,705749,1814.6678209958498,83.74082003658525,4.61
Florida,536264,8277,21477737,2496.8366080653655,38.53757963420448,1.54
Georgia,199420,4129,10617423,1878.233541227471,38.888909295598374,2.07
Hawaii,3615,33,1415872,255.3196899154726,2.3307191610541067,0.91
Idaho,25099,239,1787065,1404.4816500798795,13.373883994146828,0.95
Illinois,195341,7637,12671821,1541.5385050025563,60.267581115610774,3.91
Indiana,74992,2838,6732219,1113.9269236487999,42.15549137661743,3.78
Iowa,49162,934,3155070,1558.1904680403288,29.603146681373154,1.9
Kansas,31183,385,2913314,1070.3617941629361,13.21519067289005,1.23
Kentucky,35254,775,4467673,789.0908757198658,17.34683805193442,2.2
Louisiana,131707,4169,4648794,2833.143391597907,89.67917270586737,3.17
Maine,4049,125,1344212,301.2173674985791,9.299128411292266,3.09
Maryland,96258,3573,6045680,1592.178216511625,59.10005160709796,3.71
Massachusetts,120883,8734,6892503,1753.8331140370922,126.71739134535015,7.23
Michigan,92603,6450,9986857,927.2486829439933,64.58488391292676,6.97
Minnesota,61382,1660,5639632,1088.404349787362,29.43454466532568,2.7
Mississippi,67649,1912,2976149,2273.038077058642,64.24409530571218,2.83
Missouri,53573,1278,6137428,872.8900770811487,20.823054869238383,2.39
Montana,5017,75,1068778,469.4146024712335,7.01736001302422,1.49
Nebraska,28541,348,1934408,1475.4384804033068,17.99000004135632,1.22
Nevada,56972,963,3080156,1849.6465763422373,31.264650232001237,1.69
New Hampshire,6840,419,1359711,503.04807418635284,30.8153717959184,6.13
New Jersey,184386,15878,8882190,2075.906955379248,178.7622196778047,8.61
New Mexico,21142,690,2096829,1008.2844142273881,32.906832173725185,3.26
New York,421336,32781,19453561,2165.8553927478883,168.5089943172872,7.78
North Carolina,137562,2199,10488084,1311.6027674835557,20.96665129684316,1.6
North Dakota,7713,113,762062,1012.1223732452215,14.828189832323353,1.47
Ohio,101731,3673,11689100,870.3065248821551,31.4224362867971,3.61
Oklahoma,43962,605,3956971,1111.0013189381473,15.289472679986789,1.38
Oregon,21488,357,4217737,509.4675177707856,8.464254646508305,1.66
Pennsylvania,124221,7314,12801989,970.3257829701306,57.131747262085604,5.89
Rhode Island,17860,0,1059361,1685.921985045702,0.0,0.0
South Carolina,101159,2048,5148714,1964.7430406893839,39.77692293648472,2.02
South Dakota,9663,146,884659,1092.2852760216083,16.503534130099847,1.51
Tennessee,117825,1215,6829174,1725.3184645756573,17.791317075827912,1.03
Texas,509581,8991,28995881,1757.4254770875905,31.007852460147703,1.76
Utah,35288,284,3205958,1100.7006330089166,8.85850656808355,0.8
Vermont,1454,58,623989,233.01692818302888,9.295035649666902,3.99
Virginia,100749,2327,8535519,1180.350017380314,27.262548416798086,2.31
Washington,63445,1695,7614893,833.169947364986,22.25901270050676,2.67
West Virginia,7757,141,1792147,432.83279775598766,7.8676581775936905,1.82
Wisconsin,61061,998,5822434,1048.719487417118,17.14059790115268,1.63
Wyoming,3042,1,578759,525.6073771638972,0.17278349019194517,0.03
