,State,State Code,Region,Division
0,Alaska,AK,West,Pacific
1,Alabama,AL,South,East South Central
2,Arkansas,AR,South,West South Central
3,Arizona,AZ,West,Mountain
4,California,CA,West,Pacific
5,Colorado,CO,West,Mountain
6,Connecticut,CT,Northeast,New England
7,District of Columbia,DC,South,South Atlantic
8,Delaware,DE,South,South Atlantic
9,Florida,FL,South,South Atlantic
10,Georgia,GA,South,South Atlantic
11,Hawaii,HI,West,Pacific
12,Iowa,IA,Midwest,West North Central
13,Idaho,ID,West,Mountain
14,Illinois,IL,Midwest,East North Central
15,Indiana,IN,Midwest,East North Central
16,Kansas,KS,Midwest,West North Central
17,Kentucky,KY,South,East South Central
18,Louisiana,LA,South,West South Central
19,Massachusetts,MA,Northeast,New England
20,Maryland,MD,South,South Atlantic
21,Maine,ME,Northeast,New England
22,Michigan,MI,Midwest,East North Central
23,Minnesota,MN,Midwest,West North Central
24,Missouri,MO,Midwest,West North Central
25,Mississippi,MS,South,East South Central
26,Montana,MT,West,Mountain
27,North Carolina,NC,South,South Atlantic
28,North Dakota,ND,Midwest,West North Central
29,Nebraska,NE,Midwest,West North Central
30,New Hampshire,NH,Northeast,New England
31,New Jersey,NJ,Northeast,Middle Atlantic
32,New Mexico,NM,West,Mountain
33,Nevada,NV,West,Mountain
34,New York,NY,Northeast,Middle Atlantic
35,Ohio,OH,Midwest,East North Central
36,Oklahoma,OK,South,West South Central
37,Oregon,OR,West,Pacific
38,Pennsylvania,PA,Northeast,Middle Atlantic
39,Rhode Island,RI,Northeast,New England
40,South Carolina,SC,South,South Atlantic
41,South Dakota,SD,Midwest,West North Central
42,Tennessee,TN,South,East South Central
43,Texas,TX,South,West South Central
44,Utah,UT,West,Mountain
45,Virginia,VA,South,South Atlantic
46,Vermont,VT,Northeast,New England
47,Washington,WA,West,Pacific
48,Wisconsin,WI,Midwest,East North Central
49,West Virginia,WV,South,South Atlantic
50,Wyoming,WY,West,Mountain
